alpha_type,iter,alpha,status,X_1_1,X_1_2,X_1_3,X_1_4,X_1_5,X_1_6,X_1_7,X_1_8,X_1_9,X_1_10,X_1_11,X_1_12,X_2_1,X_2_2,X_2_3,X_2_4,X_2_5,X_2_6,X_2_7,X_2_8,X_2_9,X_2_10,X_2_11,X_2_12,Y_1_1,Y_1_2,Y_1_3,Y_1_4,Y_1_5,Y_1_6,Y_1_7,Y_1_8,Y_1_9,Y_1_10,Y_1_11,Y_1_12,Y_2_1,Y_2_2,Y_2_3,Y_2_4,Y_2_5,Y_2_6,Y_2_7,Y_2_8,Y_2_9,Y_2_10,Y_2_11,Y_2_12,obj_value,f1,f2,f3
alpha_lin,75,0.07507507507507508,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.981321994080215,9497821.6,24.0,9310.0
alpha_lin,76,0.07607607607607608,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9810729540012854,9497821.6,24.0,9310.0
alpha_lin,77,0.07707707707707707,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9808239139223557,9497821.6,24.0,9310.0
alpha_lin,78,0.07807807807807808,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9805748738434237,9497821.6,24.0,9310.0
alpha_lin,79,0.07907907907907907,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9803258337644941,9497821.6,24.0,9310.0
alpha_lin,80,0.08008008008008008,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9800767936855644,9497821.6,24.0,9310.0
alpha_lin,81,0.08108108108108109,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9798277536066323,9497821.6,24.0,9310.0
alpha_lin,82,0.08208208208208208,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9795787135277026,9497821.6,24.0,9310.0
alpha_lin,83,0.08308308308308308,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9793296734487706,9497821.6,24.0,9310.0
alpha_lin,84,0.08408408408408408,Optimal,1500,113,113,443,113,113,258,1277,113,113,386,113,1500,113,113,443,113,113,978,556,113,113,386,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9790806333698411,9497821.6,24.0,9310.0
